#MS Peaks One: - Product Ion:1 (rt: 7.2 min) (657.30 -> **) (SPE-C18-f3-ACN-PrI3_por_90.d)
#
Center X,Height,Height % (Norm),Max Y,Z,Saturated,Species,Name,Formula & Ion Species,Diff (ppm),m/z (prod.),Z (prod.),Ion,Loss Formula,Loss Mass,Ion Type
100.9,340.66,,340.66,,,,,,,,,,,,,
104.4,51.76,,51.76,2,,,,,,,,,,,,
105.2,92.8,,92.8,,,,,,,,,,,,,
106.1,113.44,,113.44,,,,,,,,,,,,,
107.1,850.44,,850.44,,,,,,,,,,,,,
109.1,1718.62,,1718.62,,,,,,,,,,,,,
110.9,95.78,,95.78,,,,,,,,,,,,,
113.1,53.12,,53.12,,,,,,,,,,,,,
114.1,50.72,,50.72,,,,,,,,,,,,,
114.8,89.82,,89.82,,,,,,,,,,,,,
116.8,72.88,,72.88,,,,,,,,,,,,,
118.9,73.26,,73.26,,,,,,,,,,,,,
119.9,74.94,,74.94,,,,,,,,,,,,,
120.6,120.38,,120.38,2,,,,,,,,,,,,
122.9,999.66,,999.66,,,,,,,,,,,,,
124.1,49.44,,49.44,,,,,,,,,,,,,
124.8,71.34,,71.34,,,,,,,,,,,,,
125.4,45.78,,45.78,2,,,,,,,,,,,,
126.7,272.96,,272.96,2,,,,,,,,,,,,
127.9,47.06,,47.06,,,,,,,,,,,,,
131,944.48,,944.48,,,,,,,,,,,,,
133,1108.96,,1108.96,,,,,,,,,,,,,
134.8,577.88,,577.88,,,,,,,,,,,,,
135.1,649.1,,649.1,,,,,,,,,,,,,
136.5,71.12,,71.12,2,,,,,,,,,,,,
138.9,52.32,,52.32,,,,,,,,,,,,,
140.9,49.78,,49.78,,,,,,,,,,,,,
142,47.36,,47.36,,,,,,,,,,,,,
142.6,56.22,,56.22,2,,,,,,,,,,,,
146.4,55.06,,55.06,2,,,,,,,,,,,,
147.2,64.18,,64.18,,,,,,,,,,,,,
148.3,56.54,,56.54,2,,,,,,,,,,,,
149.1,357.44,,357.44,,,,,,,,,,,,,
150,55.54,,55.54,,,,,,,,,,,,,
150.8,61.16,,61.16,,,,,,,,,,,,,
151.4,53.7,,53.7,2,,,,,,,,,,,,
153.1,1270.52,,1270.52,,,,,,,,,,,,,
155,49.18,,49.18,,,,,,,,,,,,,
161.1,48.78,,48.78,,,,,,,,,,,,,
164.4,52.38,,52.38,2,,,,,,,,,,,,
166.7,131.78,,131.78,2,,,,,,,,,,,,
167.5,51.14,,51.14,2,,,,,,,,,,,,
168.2,47.86,,47.86,,,,,,,,,,,,,
169,77.04,,77.04,,,,,,,,,,,,,
174.7,49.5,,49.5,2,,,,,,,,,,,,
176,45.6,,45.6,,,,,,,,,,,,,
177.7,46.76,,46.76,2,,,,,,,,,,,,
194.5,48.66,,48.66,2,,,,,,,,,,,,
197,49.9,,49.9,,,,,,,,,,,,,
198.9,52.62,,52.62,,,,,,,,,,,,,
207.3,47.94,,47.94,2,,,,,,,,,,,,
210.5,53.32,,53.32,2,,,,,,,,,,,,
216.3,45.98,,45.98,2,,,,,,,,,,,,
222,45.76,,45.76,,,,,,,,,,,,,
230.3,45.76,,45.76,,,,,,,,,,,,,
234.1,47.02,,47.02,,,,,,,,,,,,,
238.8,181.58,,181.58,,,,,,,,,,,,,
243.1,49.6,,49.6,,,,,,,,,,,,,
244.6,46.56,,46.56,2,,,,,,,,,,,,
257.2,46.08,,46.08,,,,,,,,,,,,,
291.1,45.58,,45.58,,,,,,,,,,,,,
303.9,45.96,,45.96,,,,,,,,,,,,,
304.6,46.1,,46.1,2,,,,,,,,,,,,
318.3,45.62,,45.62,,,,,,,,,,,,,
332.7,45.66,,45.66,,,,,,,,,,,,,
351.3,50.82,,50.82,,,,,,,,,,,,,
357.1,45.76,,45.76,,,,,,,,,,,,,
365.5,47.64,,47.64,2,,,,,,,,,,,,
388.4,45.88,,45.88,,,,,,,,,,,,,
416.6,45.62,,45.62,,,,,,,,,,,,,
424.9,46.04,,46.04,,,,,,,,,,,,,
521.7,45.6,,45.6,,,,,,,,,,,,,
596.4,45.68,,45.68,,,,,,,,,,,,,
656.6,45.58,,45.58,,,,,,,,,,,,,
682.2,45.72,,45.72,,,,,,,,,,,,,
723.7,46.12,,46.12,,,,,,,,,,,,,
725.7,45.96,,45.96,,,,,,,,,,,,,
743.6,45.76,,45.76,,,,,,,,,,,,,
810.2,46,,46,,,,,,,,,,,,,
832.5,45.58,,45.58,,,,,,,,,,,,,
863.3,45.9,,45.9,,,,,,,,,,,,,
871,45.6,,45.6,,,,,,,,,,,,,
876.8,46.1,,46.1,,,,,,,,,,,,,
945.2,46.2,,46.2,,,,,,,,,,,,,
960.6,45.74,,45.74,,,,,,,,,,,,,
975.3,46.54,,46.54,,,,,,,,,,,,,
1012.4,45.8,,45.8,,,,,,,,,,,,,
1019.5,45.88,,45.88,,,,,,,,,,,,,
1041.2,46.5,,46.5,,,,,,,,,,,,,
1060.4,45.96,,45.96,,,,,,,,,,,,,
1063,46.6,,46.6,,,,,,,,,,,,,
1079,45.72,,45.72,,,,,,,,,,,,,
1116.1,47.52,,47.52,,,,,,,,,,,,,
1169.9,46.04,,46.04,,,,,,,,,,,,,
1197.4,46.06,,46.06,,,,,,,,,,,,,
1257.5,45.66,,45.66,,,,,,,,,,,,,
1277.4,45.7,,45.7,,,,,,,,,,,,,
1297.9,45.72,,45.72,,,,,,,,,,,,,
1336.9,45.58,,45.58,,,,,,,,,,,,,
1338.3,46.42,,46.42,,,,,,,,,,,,,

