#MS Peaks One: - Product Ion:4 (rt: 7.2 min) (657.30 -> **) (SPE-C18-f3-ACN-PrI3_por_90.d)
#
Center X,Height,Height % (Norm),Max Y,Z,Saturated,Species,Name,Formula & Ion Species,Diff (ppm),m/z (prod.),Z (prod.),Ion,Loss Formula,Loss Mass,Ion Type
100.8,307.38,,307.38,,,,,,,,,,,,,
105.1,128.68,,128.68,,,,,,,,,,,,,
106.9,1185.4,,1185.4,,,,,,,,,,,,,
108.9,676.1,,676.1,,,,,,,,,,,,,
114.8,199.82,,199.82,,,,,,,,,,,,,
117.3,125.2,,125.2,,,,,,,,,,,,,
119.8,86.12,,86.12,,,,,,,,,,,,,
120.6,56.64,,56.64,2,,,,,,,,,,,,
123.1,1437.04,,1437.04,,,,,,,,,,,,,
124.9,131.84,,131.84,,,,,,,,,,,,,
125.8,73.18,,73.18,,,,,,,,,,,,,
127,697.78,,697.78,,,,,,,,,,,,,
127.9,58.88,,58.88,,,,,,,,,,,,,
130.9,1079.5,,1079.5,,,,,,,,,,,,,
133.1,1044.96,,1044.96,,,,,,,,,,,,,
134.8,244.12,,244.12,,,,,,,,,,,,,
137.1,52.64,,52.64,,,,,,,,,,,,,
140.9,97.64,,97.64,,,,,,,,,,,,,
142.7,114.1,,114.1,2,,,,,,,,,,,,
145.2,92.74,,92.74,,,,,,,,,,,,,
146.7,160.86,,160.86,2,,,,,,,,,,,,
147.3,85.52,,85.52,2,,,,,,,,,,,,
149,1142.74,,1142.74,,,,,,,,,,,,,
150.9,338.68,,338.68,,,,,,,,,,,,,
153.1,3053.46,,3053.46,,,,,,,,,,,,,
155.2,64.2,,64.2,,,,,,,,,,,,,
161.1,56.88,,56.88,,,,,,,,,,,,,
164.8,81.96,,81.96,,,,,,,,,,,,,
165.3,93.28,,93.28,2,,,,,,,,,,,,
167,1334.36,,1334.36,,,,,,,,,,,,,
168.2,109.56,,109.56,,,,,,,,,,,,,
168.7,365.24,,365.24,2,,,,,,,,,,,,
172.9,55.06,,55.06,,,,,,,,,,,,,
176.7,59.72,,59.72,2,,,,,,,,,,,,
182.8,56.54,,56.54,,,,,,,,,,,,,
183.2,57.18,,57.18,,,,,,,,,,,,,
185,68.52,,68.52,,,,,,,,,,,,,
186.7,52.9,,52.9,2,,,,,,,,,,,,
190.6,54.16,,54.16,2,,,,,,,,,,,,
193,84,,84,,,,,,,,,,,,,
195.1,254.44,,254.44,,,,,,,,,,,,,
197,215.4,,215.4,,,,,,,,,,,,,
209,66.66,,66.66,,,,,,,,,,,,,
211,881.42,,881.42,,,,,,,,,,,,,
212,246.6,,246.6,,,,,,,,,,,,,
212.8,600.24,,600.24,,,,,,,,,,,,,
239.1,306.68,,306.68,,,,,,,,,,,,,
240.6,1300.74,,1300.74,2,,,,,,,,,,,,
241.1,1590.58,,1590.58,,,,,,,,,,,,,
252.5,88.58,,88.58,2,,,,,,,,,,,,
253,65.46,,65.46,,,,,,,,,,,,,
254.7,325.08,,325.08,2,,,,,,,,,,,,
255.1,365.88,,365.88,,,,,,,,,,,,,
257,551.8,,551.8,,,,,,,,,,,,,
341.2,137.86,,137.86,,,,,,,,,,,,,
384.9,303.6,,303.6,,,,,,,,,,,,,
398.9,228.7,,228.7,,,,,,,,,,,,,
400.7,168.1,,168.1,,,,,,,,,,,,,
401.1,127.8,,127.8,,,,,,,,,,,,,
416.5,52.6,,52.6,,,,,,,,,,,,,
452.7,976.84,,976.84,,,,,,,,,,,,,
453.2,1211.64,,1211.64,,,,,,,,,,,,,
467,159.56,,159.56,,,,,,,,,,,,,
478.5,53.9,,53.9,,,,,,,,,,,,,
482.8,67.08,,67.08,,,,,,,,,,,,,
497.1,557.08,,557.08,,,,,,,,,,,,,
511.2,98.12,,98.12,,,,,,,,,,,,,
513,351.62,,351.62,,,,,,,,,,,,,
638.5,53.96,,53.96,,,,,,,,,,,,,
639.1,125.18,,125.18,,,,,,,,,,,,,
657.2,8054.42,,8054.42,,,,,,,,,,,,,

